,Name,Price,Price per Liter
0,"Beck's Pils 6x0,33l",4.29,2.17
1,"Nörten-Hardenberger Pils 30x0,33l",8.99,0.91
2,"Beck's Pils 0,5l Dose",0.89,1.78
3,"Rothaus Pils Tannenzäpfle 24x0,33l",16.49,2.08
4,"Hasseröder Premium Pils 20x0,5l",8.99,0.9
5,"Staropramen Premium Pils 20x0,5l",15.99,1.6
6,"Bitburger Pils 20x0,33l",11.99,1.82
7,"Beck's Pils 11x0,5l",10.99,2.0
8,"Bitburger Pils 6x0,33l",4.29,2.17
9,"Krombacher Pils 6x0,33l",4.29,2.17
10,Beck's Pils Fass 5l,10.79,2.16
11,"Beck's Pils 24x0,33l",10.99,1.39
12,"Hasseröder Premium Pils 6x0,33l",3.79,1.91
13,"Wernesgrüner Pils 20x0,5l",14.89,1.49
14,"Krombacher Pils 20x0,5l",14.69,1.47
15,"Krombacher Pils 24x0,33l",14.49,1.83
16,"Beck's Pils Gold 20x0,5l",10.99,1.1
17,"Freiberger Pils 20x0,5l",11.49,1.15
18,"Bitburger Pils 0,5l",0.85,1.7
19,"5,0 Original Pils 4x0,5l",1.95,0.98
20,"Krombacher Pils 0,5l",0.79,1.58
21,"Beck's Pils 20x0,5l",10.99,1.1
22,"Lübzer Pils 20x0,5l",10.49,1.05
23,"Bitburger Pils 20x0,5l",14.69,1.47
24,"Krombacher Pils 20x0,33l",13.79,2.09
25,"Original Oettinger Pils 20x0,5l",7.49,0.75
26,"Bitburger Pils 24x0,33l",14.69,1.85
27,"5,0 Original Pils 0,5l",0.49,0.98
28,"Störtebeker Pils 20x0,5l",15.49,1.55
29,"Wernesgrüner Pils 11x0,5l",9.29,1.69
30,"Lübzer Pils 6x0,33l",4.29,2.17
31,"Warsteiner 6x0,33l",3.79,1.91
32,"Jever Pilsener 6x0,33l",3.89,1.96
33,"Lübzer Pils 11x0,5l",8.49,1.54
34,"Hasseröder Premium Pils 0,5l",0.75,1.5
35,"Binding Römer Pils 20x0,5l",11.79,1.18
36,"Rothaus Pils 20x0,5l",16.49,1.65
37,"Licher Pils 20x0,5l",14.49,1.45
38,"Lübzer Pils 0,5l",0.75,1.5
39,"Allgäuer Büble Bier Edelbräu 20x0,5l",14.49,1.45
40,"Binding Römer Pils 0,5l",0.69,1.38
41,"Pepper Pils 0,33l",2.49,7.55
42,"Krombacher Pils 11x0,5l",8.99,1.63
43,"Ur-Krostitzer Pils 0,5l",0.69,1.38
44,"Wernesgrüner Pils 0,5l",0.75,1.5
45,"Eichbaum Ureich Premium Pils 0,5l",0.89,1.78
46,"Rothaus Pils Tannenzäpfle 6x0,33l",5.29,2.67
47,"Bitburger Pils 11x0,5l",9.29,1.69
48,"Rothaus Pils Tannenzäpfle 10x0,33l",7.99,2.42
49,"Hasseröder Premium Pils 11x0,5l",7.49,1.36
50,"Flensburger Pilsener 6x0,33l",4.29,2.17
51,"Original Oettinger Pils Steinie 20x0,33l",5.79,0.88
52,"Original Oettinger Pils 24x0,33l",7.59,0.96
53,"Radeberger Pilsner 6x0,33l",4.29,2.17
54,"Radeberger Pilsner 20x0,5l",14.99,1.5
55,"Jever Pilsener 0,5l",0.79,1.58
56,"König Pilsener 0,5l",0.79,1.58
57,"Nörten-Hardenberger Pils 20x0,5l",7.79,0.78
58,"Berliner Pilsner 20x0,5l",11.8,1.18
59,"Pilsner Urquell 6x0,33l",4.49,2.27
60,"Berliner Kindl Jubiläums-Pilsener 0,5l",0.69,1.38
61,"Astra Urtyp 27x0,33l",13.99,1.57
62,Krombacher Pils Frische-Fäßchen 5l,12.49,2.5
63,"Neumarkter Lammsbräu Edelpils 10x0,33l",8.99,2.72
64,"Berliner Pilsner 0,5l",0.59,1.18
65,"Ur-Krostitzer Pilsner 20x0,5l",12.49,1.25
66,"Holsten Pilsener 20x0,5l",11.99,1.2
67,"Bitburger Pils Open Basket 6x0,5l",4.65,1.55
68,"Beck's Gold 6x0,33l",4.29,2.17
69,"Hasseröder Premium Pils 24x0,33l",13.99,1.77
70,"Jever Pilsener 20x0,5l",14.99,1.5
71,"Pilsner Urquell 20x0,5l",13.99,1.4
72,"Veltins Pilsener 24x0,33l",14.29,1.8
73,"Tyskie Gronie 20x0,5l",15.49,1.55
74,"Grevensteiner Original Steinie 16x0,5l",13.99,1.75
75,"König Pilsener 24x0,33l",10.99,1.39
76,"Veltins Pilsener 20x0,5l",14.49,1.45
77,"Paderborner Pilsener 20x0,5l",6.99,0.7
78,"Warsteiner 0,5l",0.79,1.58
79,"Flensburger Pilsener 20x0,33l",12.99,1.97
80,"König Pilsener 20x0,5l",10.99,1.1
81,"Holsten Pilsener 0,5l",0.59,1.18
82,"Mönchshof Original 20x0,5l",14.99,1.5
83,"Nörten-Hardenberger Pils 6x0,33l",2.19,1.11
84,"Astra Rotlicht 27x0,33l",11.99,1.35
85,"Original Oettinger Hell 20x0,5l",7.79,0.78
86,"Paderborner Pilsener 0,5l",0.49,0.98
87,"Flensburger Gold 20x0,33l",12.99,1.97
88,"Altenburger Premium 20x0,5l",13.89,1.39
89,"Veltins Pilsener 6x0,33l",4.29,2.17
90,"Wicküler Pilsener 20x0,5l",9.99,1.0
91,"Beck's Gold 24x0,33l",10.99,1.39
92,"Holsten Pilsener 24x0,33l",11.99,1.51
93,"Ur-Krostitzer Pilsner 11x0,5l",6.79,1.23
94,"Zlatopramen 6x1,5l",8.94,0.99
95,"Radeberger Pilsner 11x0,5l",8.99,1.63
96,"Astra Urtyp 0,5l",0.65,1.3
97,"Veltins Pilsener Dose 0,5l",0.79,1.58
98,"Astra Urtyp Herrenhandtasche 6x0,33l",3.99,2.02
99,"Kulmbacher Edelherb 20x0,5l",13.99,1.4
100,"Licher Pilsner 6x0,33l",3.99,2.02
101,"Duckstein Original 8x0,5l",14.49,3.62
102,"Warsteiner 24x0,33l",13.79,1.74
103,"König Pilsener 6x0,33l",3.79,1.91
104,"Astra Rotlicht 6x0,33l",3.99,2.02
105,"Fürstenberg Premium Pilsener 20x0,5l",14.99,1.5
106,"Duff Beer 0,5l",0.69,1.38
107,"Heineken 28x0,25l",16.79,2.4
108,"Radeberger Pilsner 0,5l",0.79,1.58
109,"König Pilsener 11x0,5l",8.79,1.6
110,"Feldschlößchen Pilsner 0,5l",0.59,1.18
111,"Wicküler Pilsener 6x0,33l",2.79,1.41
112,"Jever Pilsener 11x0,5l",8.49,1.54
113,"Erdinger Urweiße 20x0,5l",16.99,1.7
114,"Ur-Krostitzer Pilsner 0,5l",0.69,1.38
115,"Jever Light 20x0,5l",14.99,1.5
116,"Fürstenberg Premium Pilsener 0,5l",0.79,1.58
117,"Tuborg Pilsener 6x0,33l",3.49,1.76
118,"Schmucker Gude 6x0,33l",3.99,2.02
119,"Staropramen Premium Pilsener 6x0,33l",4.29,2.17
120,"Carlsberg Pilsener 0,33l",0.79,2.39
121,"Eichbaum Pilsener 20x0,5l",12.99,1.3
122,"Leikeim Premium 20x0,5l",14.99,1.5
123,"Sternburg Pilsener 20x0,5l",7.89,0.79
124,"Holsten Pilsener 11x0,5l",7.49,1.36
125,"Veltins Pilsener 11x0,5l",8.49,1.54
126,"Stuttgarter Hofbräu Pilsner 0,5l",0.79,1.58
127,"Kulmbacher Edelherb 0,5l",0.75,1.5
128,"Wicküler Pilsener 24x0,33l",9.49,1.2
129,"Warsteiner Herb 6x0,33l",3.99,2.02
130,"Tyskie Gronie 0,5l",0.95,1.9
131,"Warsteiner 11x0,5l",7.79,1.42
132,"Warsteiner Herb 20x0,5l",13.99,1.4
133,"Stuttgarter Hofbräu Pilsner 20x0,5l",14.99,1.5
134,"Erdinger Weißbier 11x0,5l",9.49,1.73
135,"Weihenstephaner Hefe-Weißbier hell 20x0,5l",16.79,1.68
136,"Paulaner Hefe-Weißbier naturtrüb 0,5l",0.99,1.98
137,"Paulaner Hefe-Weißbier dunkel 20x0,5l",16.79,1.68
138,"Allgäuer Büble Edel-Weißbier 20x0,5l",15.49,1.55
139,"Paulaner Hefe-Weißbier naturtrüb 20x0,5l",16.99,1.7
140,"Franziskaner Hefe-Weißbier Hell naturtrüb 20x0,5l",16.19,1.62
